            nuclides,             nuclides,        activity (Bq),                grams,      alpha heat (kW),       beta heat (kW),      gamma heat (kW), cumulative time (secs),       is irradiation
                 Y89,                  Y89,                  0.0,               1000.0,                  0.0,                  0.0,                  0.0,                  0.0,                    1
                  H1,                   H1,                  0.0,              0.08194,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                  H2,                   H2,                  0.0,              0.01215,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                  H3,                   H3,      1349000000000.0,             0.003791,                  0.0,            1.233e-06,                  0.0,                 60.0,                    1
                 He3,                  He3,                  0.0,             0.005808,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                 He4,                  He4,                  0.0,              0.01478,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Ne20,                 Ne20,                  0.0,            1.796e-22,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Ne21,                 Ne21,                  0.0,            1.464e-22,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Ne22,                 Ne22,                  0.0,            1.195e-22,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Na22,                 Na22,            5.814e-08,            2.516e-22,                  0.0,            1.809e-24,            2.042e-23,                 60.0,                    1
                Na23,                 Na23,                  0.0,            1.276e-21,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Na24,                 Na24,            0.0001444,            4.469e-22,                  0.0,            1.284e-20,            9.536e-20,                 60.0,                    1
                Na25,                 Na25,               0.0173,            6.172e-23,                  0.0,            4.147e-18,            1.211e-18,                 60.0,                    1
                Mg23,                 Mg23,               0.2011,            1.253e-22,                  0.0,            4.305e-17,            3.406e-17,                 60.0,                    1
                Mg24,                 Mg24,                  0.0,            5.909e-21,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Mg25,                 Mg25,                  0.0,            6.765e-21,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Mg26,                 Mg26,                  0.0,            1.052e-20,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Mg27,                 Mg27,              0.01986,            7.285e-22,                  0.0,            2.226e-18,            2.847e-18,                 60.0,                    1
                Al25,                 Al25,               0.4554,            1.958e-22,                  0.0,             1.06e-16,            7.546e-17,                 60.0,                    1
                Al26,                 Al26,            4.223e-12,            5.949e-21,                  0.0,            2.699e-28,             1.81e-27,                 60.0,                    1
               Al26m,                Al26m,                 2.96,            1.169e-21,                  0.0,            6.799e-16,            4.866e-16,                 60.0,                    1
                Al27,                 Al27,                  0.0,            6.294e-20,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Al28,                 Al28,                2.244,            2.023e-20,                  0.0,             4.45e-16,             6.41e-16,                 60.0,                    1
                Al29,                 Al29,              0.03946,            1.078e-21,                  0.0,             6.15e-18,            8.731e-18,                 60.0,                    1
                Al30,                 Al30,               0.2409,            6.316e-23,                  0.0,             8.84e-17,            1.356e-16,                 60.0,                    1
                Si27,                 Si27,                 7.31,            1.971e-21,                  0.0,            2.009e-15,            1.202e-15,                 60.0,                    1
                Si28,                 Si28,                  0.0,            2.218e-19,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Si29,                 Si29,                  0.0,            1.443e-19,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Si30,                 Si30,                  0.0,             1.75e-19,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Si31,                 Si31,              0.02725,            1.907e-20,                  0.0,            2.592e-18,            9.485e-21,                 60.0,                    1
                Si32,                 Si32,            1.779e-08,            5.676e-21,                  0.0,            1.843e-25,                  0.0,                 60.0,                    1
                Si33,                 Si33,               0.1129,            5.512e-23,                  0.0,            3.618e-17,             4.16e-17,                 60.0,                    1
                 P29,                  P29,                 9.54,            2.742e-21,                  0.0,            2.707e-15,            3.668e-15,                 60.0,                    1
                 P30,                  P30,                 16.1,            1.733e-19,                  0.0,            3.703e-15,            2.637e-15,                 60.0,                    1
                 P31,                  P31,                  0.0,            1.167e-18,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                 P32,                  P32,             0.007399,            6.988e-19,                  0.0,            8.215e-19,            2.028e-21,                 60.0,                    1
                 P33,                  P33,             0.001095,            1.896e-19,                  0.0,             1.34e-20,                  0.0,                 60.0,                    1
                 P34,                  P34,                24.32,            2.454e-20,                  0.0,            8.901e-15,            1.354e-15,                 60.0,                    1
                 P35,                  P35,                1.726,            6.839e-21,                  0.0,            2.931e-16,            4.365e-16,                 60.0,                    1
                 S30,                  S30,                1.516,            1.283e-22,                  0.0,            5.062e-16,            3.907e-16,                 60.0,                    1
                 S31,                  S31,                85.18,            1.626e-20,                  0.0,            2.724e-14,            1.417e-14,                 60.0,                    1
                 S32,                  S32,                  0.0,             3.54e-18,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                 S33,                  S33,                  0.0,            7.047e-18,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                 S34,                  S34,                  0.0,            1.191e-17,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                 S35,                  S35,             0.002151,             1.36e-18,                  0.0,            1.679e-20,                  0.0,                 60.0,                    1
                 S36,                  S36,                  0.0,            4.378e-19,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                 S37,                  S37,                0.456,            1.209e-20,                  0.0,            5.795e-17,            2.146e-16,                 60.0,                    1
                 S38,                  S38,             0.002533,            2.354e-21,                  0.0,            1.985e-19,             6.88e-19,                 60.0,                    1
                Cl32,                 Cl32,                3.025,            6.908e-23,                  0.0,            1.847e-15,            2.089e-15,                 60.0,                    1
                Cl33,                 Cl33,                184.8,            3.665e-20,                  0.0,            6.164e-14,            3.102e-14,                 60.0,                    1
                Cl34,                 Cl34,               1894.0,            2.353e-19,                  0.0,            6.203e-13,            3.124e-13,                 60.0,                    1
               Cl34m,                Cl34m,                18.33,            2.873e-18,                  0.0,            1.296e-15,            5.812e-15,                 60.0,                    1
                Cl35,                 Cl35,                  0.0,            3.575e-17,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Cl36,                 Cl36,            3.203e-08,            2.622e-17,                  0.0,            1.402e-24,            9.408e-29,                 60.0,                    1
                Cl37,                 Cl37,                  0.0,            1.117e-17,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Cl38,                 Cl38,                7.251,            1.472e-18,                  0.0,            1.769e-15,            1.735e-15,                 60.0,                    1
               Cl38m,                Cl38m,                438.7,            2.853e-20,                  0.0,            3.019e-17,            4.719e-14,                 60.0,                    1
                Cl39,                 Cl39,               0.9631,            2.999e-19,                  0.0,            1.269e-16,            2.244e-16,                 60.0,                    1
                Cl40,                 Cl40,                2.266,            1.757e-20,                  0.0,            5.514e-16,            1.481e-15,                 60.0,                    1
                Cl41,                 Cl41,               0.4898,            1.846e-21,                  0.0,            1.506e-16,            1.506e-16,                 60.0,                    1
                Ar34,                 Ar34,                19.08,            1.312e-21,                  0.0,            6.998e-15,            3.379e-15,                 60.0,                    1
                Ar35,                 Ar35,               1212.0,            1.802e-19,                  0.0,            4.398e-13,            2.037e-13,                 60.0,                    1
                Ar36,                 Ar36,                  0.0,            6.655e-17,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Ar37,                 Ar37,               0.6412,            1.719e-16,                  0.0,            2.003e-19,             2.29e-20,                 60.0,                    1
                Ar38,                 Ar38,                  0.0,            3.585e-16,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Ar39,                 Ar39,            7.587e-05,            6.012e-17,                  0.0,            2.658e-21,                  0.0,                 60.0,                    1
                Ar40,                 Ar40,                  0.0,            2.142e-17,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Ar41,                 Ar41,                3.442,            2.221e-18,                  0.0,            2.556e-16,            7.083e-16,                 60.0,                    1
