      En-low      En-high        flux      flux-unc         gxs       gxs-unc   greac-rate     cum-rate 

  1.00000E-05  1.04713E-05  1.41044E-03  0.00000E+00  1.10819E+07  5.77507E+01  1.56303E+04  1.56303E+04
  1.04713E-05  1.09648E-05  1.41044E-03  0.00000E+00  1.08297E+07  5.77507E+01  1.52746E+04  3.09049E+04
  1.09648E-05  1.14815E-05  1.41044E-03  0.00000E+00  1.05829E+07  5.77507E+01  1.49265E+04  4.58313E+04
  1.14815E-05  1.20226E-05  1.41044E-03  0.00000E+00  1.03421E+07  5.77507E+01  1.45868E+04  6.04182E+04
  1.20226E-05  1.25893E-05  1.41044E-03  0.00000E+00  1.01067E+07  5.77507E+01  1.42548E+04  7.46730E+04
  1.25893E-05  1.31826E-05  1.41044E-03  0.00000E+00  9.87675E+06  5.77507E+01  1.39305E+04  8.86035E+04
  1.31826E-05  1.38038E-05  1.41044E-03  0.00000E+00  9.65170E+06  5.77507E+01  1.36131E+04  1.02217E+05
  1.38038E-05  1.44544E-05  1.41044E-03  0.00000E+00  9.43228E+06  5.77507E+01  1.33036E+04  1.15520E+05
  1.44544E-05  1.51356E-05  1.41044E-03  0.00000E+00  9.21744E+06  5.77507E+01  1.30006E+04  1.28521E+05
  1.51356E-05  1.58489E-05  1.41044E-03  0.00000E+00  9.00762E+06  5.77507E+01  1.27047E+04  1.41226E+05
  1.58489E-05  1.65959E-05  1.41044E-03  0.00000E+00  8.80260E+06  5.77507E+01  1.24155E+04  1.53641E+05
  1.65959E-05  1.73780E-05  1.41044E-03  0.00000E+00  8.60221E+06  5.77507E+01  1.21329E+04  1.65774E+05
  1.73780E-05  1.81970E-05  1.41044E-03  0.00000E+00  8.40649E+06  5.77507E+01  1.18568E+04  1.77631E+05
  1.81970E-05  1.90546E-05  1.41044E-03  0.00000E+00  8.21499E+06  5.77507E+01  1.15867E+04  1.89218E+05
  1.90546E-05  1.99526E-05  1.41044E-03  0.00000E+00  8.02807E+06  5.77507E+01  1.13231E+04  2.00541E+05
  1.99526E-05  2.08930E-05  1.41044E-03  0.00000E+00  7.84524E+06  5.77507E+01  1.10652E+04  2.11606E+05
  2.08930E-05  2.18776E-05  1.41044E-03  0.00000E+00  7.66678E+06  5.77507E+01  1.08135E+04  2.22419E+05
  2.18776E-05  2.29087E-05  1.41044E-03  0.00000E+00  7.49213E+06  5.77507E+01  1.05672E+04  2.32987E+05
  2.29087E-05  2.39883E-05  1.41044E-03  0.00000E+00  7.32174E+06  5.77507E+01  1.03269E+04  2.43313E+05
  2.39883E-05  2.51189E-05  1.41044E-03  0.00000E+00  7.15503E+06  5.77507E+01  1.00917E+04  2.53405E+05
  2.51189E-05  2.63027E-05  1.41044E-03  0.00000E+00  6.99215E+06  5.77507E+01  9.86199E+03  2.63267E+05
  2.63027E-05  2.75423E-05  1.41044E-03  0.00000E+00  6.83302E+06  5.77507E+01  9.63755E+03  2.72905E+05
  2.75423E-05  2.88403E-05  1.41044E-03  0.00000E+00  6.67748E+06  5.77507E+01  9.41816E+03  2.82323E+05
  2.88403E-05  3.01995E-05  1.41044E-03  0.00000E+00  6.52551E+06  5.77507E+01  9.20382E+03  2.91527E+05
  3.01995E-05  3.16228E-05  1.41044E-03  0.00000E+00  6.37685E+06  5.77507E+01  8.99415E+03  3.00521E+05
  3.16228E-05  3.31131E-05  1.41044E-03  0.00000E+00  6.23182E+06  5.77507E+01  8.78959E+03  3.09310E+05
  3.31131E-05  3.46737E-05  1.41044E-03  0.00000E+00  6.08987E+06  5.77507E+01  8.58938E+03  3.17900E+05
  3.46737E-05  3.63078E-05  1.41044E-03  0.00000E+00  5.95132E+06  5.77507E+01  8.39397E+03  3.26294E+05
  3.63078E-05  3.80189E-05  1.41044E-03  0.00000E+00  5.81579E+06  5.77507E+01  8.20281E+03  3.34497E+05
  3.80189E-05  3.98107E-05  1.41044E-03  0.00000E+00  5.68346E+06  5.77507E+01  8.01617E+03  3.42513E+05
  3.98107E-05  4.16869E-05  1.41044E-03  0.00000E+00  5.55406E+06  5.77507E+01  7.83365E+03  3.50346E+05
  4.16869E-05  4.36516E-05  1.41044E-03  0.00000E+00  5.42764E+06  5.77507E+01  7.65534E+03  3.58002E+05
  4.36516E-05  4.57088E-05  1.41044E-03  0.00000E+00  5.30411E+06  5.77507E+01  7.48111E+03  3.65483E+05
  4.57088E-05  4.78630E-05  1.41044E-03  0.00000E+00  5.18333E+06  5.77507E+01  7.31077E+03  3.72794E+05
  4.78630E-05  5.01187E-05  1.41044E-03  0.00000E+00  5.06541E+06  5.77507E+01  7.14444E+03  3.79938E+05
  5.01187E-05  5.24808E-05  1.41044E-03  0.00000E+00  4.95003E+06  5.77507E+01  6.98170E+03  3.86920E+05
  5.24808E-05  5.49541E-05  1.41044E-03  0.00000E+00  4.83743E+06  5.77507E+01  6.82290E+03  3.93743E+05
  5.49541E-05  5.75440E-05  1.41044E-03  0.00000E+00  4.72725E+06  5.77507E+01  6.66749E+03  4.00410E+05
  5.75440E-05  6.02560E-05  1.41044E-03  0.00000E+00  4.61971E+06  5.77507E+01  6.51581E+03  4.06926E+05
  6.02560E-05  6.30957E-05  1.41044E-03  0.00000E+00  4.51450E+06  5.77507E+01  6.36741E+03  4.13293E+05
  6.30957E-05  6.60693E-05  1.41044E-03  0.00000E+00  4.41178E+06  5.77507E+01  6.22253E+03  4.19516E+05
  6.60693E-05  6.91831E-05  1.41044E-03  0.00000E+00  4.31135E+06  5.77507E+01  6.08088E+03  4.25597E+05
  6.91831E-05  7.24436E-05  1.41044E-03  0.00000E+00  4.21319E+06  5.77507E+01  5.94243E+03  4.31539E+05
  7.24436E-05  7.58578E-05  1.41044E-03  0.00000E+00  4.11731E+06  5.77507E+01  5.80720E+03  4.37346E+05
  7.58578E-05  7.94328E-05  1.41044E-03  0.00000E+00  4.02354E+06  5.77507E+01  5.67495E+03  4.43021E+05
  7.94328E-05  8.31764E-05  1.41044E-03  0.00000E+00  3.93202E+06  5.77507E+01  5.54586E+03  4.48567E+05
  8.31764E-05  8.70964E-05  1.41044E-03  0.00000E+00  3.84246E+06  5.77507E+01  5.41955E+03  4.53987E+05
  8.70964E-05  9.12011E-05  1.41044E-03  0.00000E+00  3.75505E+06  5.77507E+01  5.29627E+03  4.59283E+05
  9.12011E-05  9.54993E-05  1.41044E-03  0.00000E+00  3.66952E+06  5.77507E+01  5.17563E+03  4.64459E+05
  9.54993E-05  1.00000E-04  1.41044E-03  0.00000E+00  3.58604E+06  5.77507E+01  5.05788E+03  4.69517E+05
  1.00000E-04  1.04713E-04  1.41044E-03  0.00000E+00  3.50440E+06  5.77507E+01  4.94273E+03  4.74459E+05
  1.04713E-04  1.09648E-04  1.41044E-03  0.00000E+00  3.42463E+06  5.77507E+01  4.83023E+03  4.79289E+05
  1.09648E-04  1.14815E-04  1.41044E-03  0.00000E+00  3.34662E+06  5.77507E+01  4.72020E+03  4.84010E+05
  1.14815E-04  1.20226E-04  1.41044E-03  0.00000E+00  3.27041E+06  5.77507E+01  4.61271E+03  4.88622E+05
  1.20226E-04  1.25893E-04  1.41044E-03  0.00000E+00  3.19605E+06  5.77507E+01  4.50783E+03  4.93130E+05
  1.25893E-04  1.31826E-04  1.41044E-03  0.00000E+00  3.12326E+06  5.77507E+01  4.40516E+03  4.97535E+05
  1.31826E-04  1.38038E-04  1.41044E-03  0.00000E+00  3.05218E+06  5.77507E+01  4.30491E+03  5.01840E+05
  1.38038E-04  1.44544E-04  1.41044E-03  0.00000E+00  2.98270E+06  5.77507E+01  4.20692E+03  5.06047E+05
