      En-low      En-high        flux      flux-unc         gxs       gxs-unc   greac-rate     cum-rate 

  1.00000E-05  1.04713E-05  1.41044E-03  0.00000E+00  5.40527E+01  0.00000E+00  7.62379E-02  7.62379E-02
  1.04713E-05  1.09648E-05  1.41044E-03  0.00000E+00  5.28233E+01  0.00000E+00  7.45040E-02  1.50742E-01
  1.09648E-05  1.14815E-05  1.41044E-03  0.00000E+00  5.16205E+01  0.00000E+00  7.28075E-02  2.23549E-01
  1.14815E-05  1.20226E-05  1.41044E-03  0.00000E+00  5.04471E+01  0.00000E+00  7.11524E-02  2.94702E-01
  1.20226E-05  1.25893E-05  1.41044E-03  0.00000E+00  4.92998E+01  0.00000E+00  6.95343E-02  3.64236E-01
  1.25893E-05  1.31826E-05  1.41044E-03  0.00000E+00  4.81795E+01  0.00000E+00  6.79541E-02  4.32190E-01
  1.31826E-05  1.38038E-05  1.41044E-03  0.00000E+00  4.70828E+01  0.00000E+00  6.64073E-02  4.98598E-01
  1.38038E-05  1.44544E-05  1.41044E-03  0.00000E+00  4.60135E+01  0.00000E+00  6.48992E-02  5.63497E-01
  1.44544E-05  1.51356E-05  1.41044E-03  0.00000E+00  4.49667E+01  0.00000E+00  6.34227E-02  6.26920E-01
  1.51356E-05  1.58489E-05  1.41044E-03  0.00000E+00  4.39443E+01  0.00000E+00  6.19807E-02  6.88900E-01
  1.58489E-05  1.65959E-05  1.41044E-03  0.00000E+00  4.29453E+01  0.00000E+00  6.05717E-02  7.49472E-01
  1.65959E-05  1.73780E-05  1.41044E-03  0.00000E+00  4.19689E+01  0.00000E+00  5.91946E-02  8.08666E-01
  1.73780E-05  1.81970E-05  1.41044E-03  0.00000E+00  4.10153E+01  0.00000E+00  5.78495E-02  8.66516E-01
  1.81970E-05  1.90546E-05  1.41044E-03  0.00000E+00  4.00823E+01  0.00000E+00  5.65336E-02  9.23050E-01
  1.90546E-05  1.99526E-05  1.41044E-03  0.00000E+00  3.91717E+01  0.00000E+00  5.52492E-02  9.78299E-01
  1.99526E-05  2.08930E-05  1.41044E-03  0.00000E+00  3.82810E+01  0.00000E+00  5.39929E-02  1.03229E+00
  2.08930E-05  2.18776E-05  1.41044E-03  0.00000E+00  3.74116E+01  0.00000E+00  5.27667E-02  1.08506E+00
  2.18776E-05  2.29087E-05  1.41044E-03  0.00000E+00  3.65608E+01  0.00000E+00  5.15667E-02  1.13663E+00
  2.29087E-05  2.39883E-05  1.41044E-03  0.00000E+00  3.57308E+01  0.00000E+00  5.03961E-02  1.18702E+00
  2.39883E-05  2.51189E-05  1.41044E-03  0.00000E+00  3.49188E+01  0.00000E+00  4.92507E-02  1.23627E+00
  2.51189E-05  2.63027E-05  1.41044E-03  0.00000E+00  3.41254E+01  0.00000E+00  4.81317E-02  1.28440E+00
  2.63027E-05  2.75423E-05  1.41044E-03  0.00000E+00  3.33504E+01  0.00000E+00  4.70386E-02  1.33144E+00
  2.75423E-05  2.88403E-05  1.41044E-03  0.00000E+00  3.25928E+01  0.00000E+00  4.59701E-02  1.37741E+00
  2.88403E-05  3.01995E-05  1.41044E-03  0.00000E+00  3.18527E+01  0.00000E+00  4.49262E-02  1.42234E+00
  3.01995E-05  3.16228E-05  1.41044E-03  0.00000E+00  3.11288E+01  0.00000E+00  4.39052E-02  1.46624E+00
  3.16228E-05  3.31131E-05  1.41044E-03  0.00000E+00  3.04226E+01  0.00000E+00  4.29091E-02  1.50915E+00
  3.31131E-05  3.46737E-05  1.41044E-03  0.00000E+00  2.97313E+01  0.00000E+00  4.19342E-02  1.55109E+00
  3.46737E-05  3.63078E-05  1.41044E-03  0.00000E+00  2.90568E+01  0.00000E+00  4.09828E-02  1.59207E+00
  3.63078E-05  3.80189E-05  1.41044E-03  0.00000E+00  2.83969E+01  0.00000E+00  4.00521E-02  1.63212E+00
  3.80189E-05  3.98107E-05  1.41044E-03  0.00000E+00  2.77527E+01  0.00000E+00  3.91435E-02  1.67127E+00
  3.98107E-05  4.16869E-05  1.41044E-03  0.00000E+00  2.71228E+01  0.00000E+00  3.82550E-02  1.70952E+00
  4.16869E-05  4.36516E-05  1.41044E-03  0.00000E+00  2.65074E+01  0.00000E+00  3.73870E-02  1.74691E+00
  4.36516E-05  4.57088E-05  1.41044E-03  0.00000E+00  2.59061E+01  0.00000E+00  3.65390E-02  1.78345E+00
  4.57088E-05  4.78630E-05  1.41044E-03  0.00000E+00  2.53184E+01  0.00000E+00  3.57100E-02  1.81916E+00
  4.78630E-05  5.01187E-05  1.41044E-03  0.00000E+00  2.47445E+01  0.00000E+00  3.49006E-02  1.85406E+00
  5.01187E-05  5.24808E-05  1.41044E-03  0.00000E+00  2.41830E+01  0.00000E+00  3.41087E-02  1.88817E+00
  5.24808E-05  5.49541E-05  1.41044E-03  0.00000E+00  2.36352E+01  0.00000E+00  3.33360E-02  1.92150E+00
  5.49541E-05  5.75440E-05  1.41044E-03  0.00000E+00  2.30992E+01  0.00000E+00  3.25799E-02  1.95408E+00
  5.75440E-05  6.02560E-05  1.41044E-03  0.00000E+00  2.25760E+01  0.00000E+00  3.18421E-02  1.98592E+00
  6.02560E-05  6.30957E-05  1.41044E-03  0.00000E+00  2.20643E+01  0.00000E+00  3.11203E-02  2.01704E+00
  6.30957E-05  6.60693E-05  1.41044E-03  0.00000E+00  2.15647E+01  0.00000E+00  3.04156E-02  2.04746E+00
  6.60693E-05  6.91831E-05  1.41044E-03  0.00000E+00  2.10763E+01  0.00000E+00  2.97268E-02  2.07719E+00
  6.91831E-05  7.24436E-05  1.41044E-03  0.00000E+00  2.05990E+01  0.00000E+00  2.90536E-02  2.10624E+00
  7.24436E-05  7.58578E-05  1.41044E-03  0.00000E+00  2.01329E+01  0.00000E+00  2.83962E-02  2.13464E+00
  7.58578E-05  7.94328E-05  1.41044E-03  0.00000E+00  1.96771E+01  0.00000E+00  2.77533E-02  2.16239E+00
  7.94328E-05  8.31764E-05  1.41044E-03  0.00000E+00  1.92322E+01  0.00000E+00  2.71259E-02  2.18952E+00
  8.31764E-05  8.70964E-05  1.41044E-03  0.00000E+00  1.87970E+01  0.00000E+00  2.65120E-02  2.21603E+00
  8.70964E-05  9.12011E-05  1.41044E-03  0.00000E+00  1.83723E+01  0.00000E+00  2.59130E-02  2.24194E+00
  9.12011E-05  9.54993E-05  1.41044E-03  0.00000E+00  1.79568E+01  0.00000E+00  2.53269E-02  2.26727E+00
  9.54993E-05  1.00000E-04  1.41044E-03  0.00000E+00  1.75513E+01  0.00000E+00  2.47550E-02  2.29202E+00
  1.00000E-04  1.04713E-04  1.41044E-03  0.00000E+00  1.71548E+01  0.00000E+00  2.41958E-02  2.31622E+00
  1.04713E-04  1.09648E-04  1.41044E-03  0.00000E+00  1.67675E+01  0.00000E+00  2.36495E-02  2.33987E+00
  1.09648E-04  1.14815E-04  1.41044E-03  0.00000E+00  1.63888E+01  0.00000E+00  2.31153E-02  2.36298E+00
  1.14815E-04  1.20226E-04  1.41044E-03  0.00000E+00  1.60189E+01  0.00000E+00  2.25937E-02  2.38558E+00
  1.20226E-04  1.25893E-04  1.41044E-03  0.00000E+00  1.56580E+01  0.00000E+00  2.20847E-02  2.40766E+00
  1.25893E-04  1.31826E-04  1.41044E-03  0.00000E+00  1.53049E+01  0.00000E+00  2.15866E-02  2.42925E+00
  1.31826E-04  1.38038E-04  1.41044E-03  0.00000E+00  1.49601E+01  0.00000E+00  2.11003E-02  2.45035E+00
