      En-low      En-high        flux      flux-unc         gxs       gxs-unc   greac-rate     cum-rate 

  1.00000E-05  1.04713E-05  1.41044E-03  0.00000E+00  9.72835E+01  7.75422E+01  1.37212E-01  1.37212E-01
  1.04713E-05  1.09648E-05  1.41044E-03  0.00000E+00  9.50691E+01  7.75422E+01  1.34089E-01  2.71301E-01
  1.09648E-05  1.14815E-05  1.41044E-03  0.00000E+00  9.29026E+01  7.75422E+01  1.31033E-01  4.02335E-01
  1.14815E-05  1.20226E-05  1.41044E-03  0.00000E+00  9.07888E+01  7.75422E+01  1.28052E-01  5.30387E-01
  1.20226E-05  1.25893E-05  1.41044E-03  0.00000E+00  8.87222E+01  7.75422E+01  1.25137E-01  6.55524E-01
  1.25893E-05  1.31826E-05  1.41044E-03  0.00000E+00  8.67039E+01  7.75422E+01  1.22290E-01  7.77814E-01
  1.31826E-05  1.38038E-05  1.41044E-03  0.00000E+00  8.47284E+01  7.75422E+01  1.19504E-01  8.97318E-01
  1.38038E-05  1.44544E-05  1.41044E-03  0.00000E+00  8.28021E+01  7.75422E+01  1.16787E-01  1.01411E+00
  1.44544E-05  1.51356E-05  1.41044E-03  0.00000E+00  8.09161E+01  7.75422E+01  1.14127E-01  1.12823E+00
  1.51356E-05  1.58489E-05  1.41044E-03  0.00000E+00  7.90742E+01  7.75422E+01  1.11529E-01  1.23976E+00
  1.58489E-05  1.65959E-05  1.41044E-03  0.00000E+00  7.72745E+01  7.75422E+01  1.08991E-01  1.34875E+00
  1.65959E-05  1.73780E-05  1.41044E-03  0.00000E+00  7.55153E+01  7.75422E+01  1.06510E-01  1.45526E+00
  1.73780E-05  1.81970E-05  1.41044E-03  0.00000E+00  7.37971E+01  7.75422E+01  1.04086E-01  1.55935E+00
  1.81970E-05  1.90546E-05  1.41044E-03  0.00000E+00  7.21160E+01  7.75422E+01  1.01715E-01  1.66106E+00
  1.90546E-05  1.99526E-05  1.41044E-03  0.00000E+00  7.04751E+01  7.75422E+01  9.94007E-02  1.76046E+00
  1.99526E-05  2.08930E-05  1.41044E-03  0.00000E+00  6.88701E+01  7.75422E+01  9.71370E-02  1.85760E+00
  2.08930E-05  2.18776E-05  1.41044E-03  0.00000E+00  6.73036E+01  7.75422E+01  9.49275E-02  1.95253E+00
  2.18776E-05  2.29087E-05  1.41044E-03  0.00000E+00  6.57704E+01  7.75422E+01  9.27650E-02  2.04529E+00
  2.29087E-05  2.39883E-05  1.41044E-03  0.00000E+00  6.42746E+01  7.75422E+01  9.06553E-02  2.13595E+00
  2.39883E-05  2.51189E-05  1.41044E-03  0.00000E+00  6.28111E+01  7.75422E+01  8.85911E-02  2.22454E+00
  2.51189E-05  2.63027E-05  1.41044E-03  0.00000E+00  6.13812E+01  7.75422E+01  8.65744E-02  2.31111E+00
  2.63027E-05  2.75423E-05  1.41044E-03  0.00000E+00  5.99843E+01  7.75422E+01  8.46041E-02  2.39572E+00
  2.75423E-05  2.88403E-05  1.41044E-03  0.00000E+00  5.86189E+01  7.75422E+01  8.26782E-02  2.47840E+00
  2.88403E-05  3.01995E-05  1.41044E-03  0.00000E+00  5.72848E+01  7.75422E+01  8.07965E-02  2.55919E+00
  3.01995E-05  3.16228E-05  1.41044E-03  0.00000E+00  5.59798E+01  7.75422E+01  7.89559E-02  2.63815E+00
  3.16228E-05  3.31131E-05  1.41044E-03  0.00000E+00  5.47066E+01  7.75422E+01  7.71603E-02  2.71531E+00
  3.31131E-05  3.46737E-05  1.41044E-03  0.00000E+00  5.34605E+01  7.75422E+01  7.54026E-02  2.79071E+00
  3.46737E-05  3.63078E-05  1.41044E-03  0.00000E+00  5.22442E+01  7.75422E+01  7.36872E-02  2.86440E+00
  3.63078E-05  3.80189E-05  1.41044E-03  0.00000E+00  5.10544E+01  7.75422E+01  7.20091E-02  2.93641E+00
  3.80189E-05  3.98107E-05  1.41044E-03  0.00000E+00  4.98928E+01  7.75422E+01  7.03707E-02  3.00678E+00
  3.98107E-05  4.16869E-05  1.41044E-03  0.00000E+00  4.87568E+01  7.75422E+01  6.87684E-02  3.07555E+00
  4.16869E-05  4.36516E-05  1.41044E-03  0.00000E+00  4.76470E+01  7.75422E+01  6.72031E-02  3.14275E+00
  4.36516E-05  4.57088E-05  1.41044E-03  0.00000E+00  4.65626E+01  7.75422E+01  6.56736E-02  3.20842E+00
  4.57088E-05  4.78630E-05  1.41044E-03  0.00000E+00  4.55024E+01  7.75422E+01  6.41783E-02  3.27260E+00
  4.78630E-05  5.01187E-05  1.41044E-03  0.00000E+00  4.44672E+01  7.75422E+01  6.27181E-02  3.33532E+00
  5.01187E-05  5.24808E-05  1.41044E-03  0.00000E+00  4.34543E+01  7.75422E+01  6.12895E-02  3.39661E+00
  5.24808E-05  5.49541E-05  1.41044E-03  0.00000E+00  4.24659E+01  7.75422E+01  5.98954E-02  3.45651E+00
  5.49541E-05  5.75440E-05  1.41044E-03  0.00000E+00  4.14986E+01  7.75422E+01  5.85312E-02  3.51504E+00
  5.75440E-05  6.02560E-05  1.41044E-03  0.00000E+00  4.05546E+01  7.75422E+01  5.71997E-02  3.57224E+00
  6.02560E-05  6.30957E-05  1.41044E-03  0.00000E+00  3.96309E+01  7.75422E+01  5.58969E-02  3.62813E+00
  6.30957E-05  6.60693E-05  1.41044E-03  0.00000E+00  3.87292E+01  7.75422E+01  5.46251E-02  3.68276E+00
  6.60693E-05  6.91831E-05  1.41044E-03  0.00000E+00  3.78476E+01  7.75422E+01  5.33816E-02  3.73614E+00
  6.91831E-05  7.24436E-05  1.41044E-03  0.00000E+00  3.69858E+01  7.75422E+01  5.21662E-02  3.78831E+00
  7.24436E-05  7.58578E-05  1.41044E-03  0.00000E+00  3.61442E+01  7.75422E+01  5.09791E-02  3.83929E+00
