  Time (years)   Heating (kW/kg) 
   3.1688E-08       1.0320E-03   
   1.9013E-06       1.0210E-03   
   9.5064E-06       1.0047E-03   
   1.9013E-05       9.9008E-04   
   5.7039E-05       9.6334E-04   
   1.1408E-04       9.5342E-04   
   2.7379E-03       9.2284E-04   
   1.9165E-02       8.9814E-04   
   7.6660E-02       8.8348E-04   
   4.8734E-01       8.2667E-04   
   9.8015E-01       7.7220E-04   
   1.9802E+00       6.7624E-04   
   3.9802E+00       5.1964E-04   
   5.9802E+00       3.9946E-04   
   1.0980E+01       2.0704E-04   
   2.0980E+01       5.5652E-05   
   3.0980E+01       1.4982E-05   
   4.0980E+01       4.0460E-06   
   5.0980E+01       1.1003E-06   
   6.0980E+01       3.0386E-07   
   7.0980E+01       8.6766E-08   
   8.0980E+01       2.6620E-08   
   9.0980E+01       9.3992E-09   
   1.0098E+02       4.1519E-09   
