cell1
  Time (years)   Co60 Activity (Bq/kg)
   0.0000E+00       0.0000E+00   
   4.9281E-01       3.9462E+09   
   9.8563E-01       7.6449E+09   
   1.4784E+00       1.1112E+10   
   1.9713E+00       1.4361E+10   
   1.9713E+00       1.4361E+10   
   1.9713E+00       1.4361E+10   
   1.9713E+00       1.4361E+10   
   1.9713E+00       1.4361E+10   
   1.9713E+00       1.4361E+10   
   1.9714E+00       1.4360E+10   
   1.9740E+00       1.4356E+10   
   1.9904E+00       1.4325E+10   
   2.0479E+00       1.4217E+10   
   2.4586E+00       1.3469E+10   
   2.9514E+00       1.2624E+10   
   3.9514E+00       1.1068E+10   
   5.9514E+00       8.5087E+09   
   7.9514E+00       6.5409E+09   
   1.2951E+01       3.3891E+09   
   2.2951E+01       9.0984E+08   
   3.2951E+01       2.4426E+08   
   4.2951E+01       6.5574E+07   
   5.2951E+01       1.7604E+07   
   6.2951E+01       4.7256E+06   
   7.2951E+01       1.2685E+06   
   8.2951E+01       3.4046E+05   
   9.2951E+01       9.1397E+04   
   1.0295E+02       2.4537E+04   



cell2
  Time (years)   Co60 Activity (Bq/kg)
   0.0000E+00       0.0000E+00   
   4.9281E-01       2.3496E+10   
   9.8563E-01       4.5516E+10   
   1.4784E+00       6.6151E+10   
   1.9713E+00       8.5488E+10   
   1.9713E+00       8.5488E+10   
   1.9713E+00       8.5488E+10   
   1.9713E+00       8.5489E+10   
   1.9713E+00       8.5489E+10   
   1.9713E+00       8.5488E+10   
   1.9714E+00       8.5488E+10   
   1.9740E+00       8.5458E+10   
   1.9904E+00       8.5274E+10   
   2.0479E+00       8.4632E+10   
   2.4586E+00       8.0182E+10   
   2.9514E+00       7.5151E+10   
   3.9514E+00       6.5890E+10   
   5.9514E+00       5.0652E+10   
   7.9514E+00       3.8938E+10   
   1.2951E+01       2.0175E+10   
   2.2951E+01       5.4163E+09   
   3.2951E+01       1.4541E+09   
   4.2951E+01       3.9036E+08   
   5.2951E+01       1.0480E+08   
   6.2951E+01       2.8134E+07   
   7.2951E+01       7.5527E+06   
   8.2951E+01       2.0276E+06   
   9.2951E+01       5.4434E+05   
   1.0295E+02       1.4614E+05   



cell3
  Time (years)   Co60 Activity (Bq/kg)
   0.0000E+00       0.0000E+00   
   4.9281E-01       3.1799E+12   
   9.8563E-01       6.1600E+12   
   1.4784E+00       8.9529E+12   
   1.9713E+00       1.1570E+13   
   1.9713E+00       1.1570E+13   
   1.9713E+00       1.1570E+13   
   1.9713E+00       1.1570E+13   
   1.9713E+00       1.1570E+13   
   1.9713E+00       1.1570E+13   
   1.9714E+00       1.1570E+13   
   1.9740E+00       1.1566E+13   
   1.9904E+00       1.1541E+13   
   2.0479E+00       1.1454E+13   
   2.4586E+00       1.0852E+13   
   2.9514E+00       1.0171E+13   
   3.9514E+00       8.9178E+12   
   5.9514E+00       6.8555E+12   
   7.9514E+00       5.2700E+12   
   1.2951E+01       2.7306E+12   
   2.2951E+01       7.3306E+11   
   3.2951E+01       1.9680E+11   
   4.2951E+01       5.2832E+10   
   5.2951E+01       1.4184E+10   
   6.2951E+01       3.8080E+09   
   7.2951E+01       1.0222E+09   
   8.2951E+01       2.7437E+08   
   9.2951E+01       7.3645E+07   
   1.0295E+02       1.9770E+07   



cell7
  Time (years)   Co60 Activity (Bq/kg)
   0.0000E+00       0.0000E+00   
   4.9281E-01       1.1226E+09   
   9.8563E-01       2.1747E+09   
   1.4784E+00       3.1609E+09   
   1.9713E+00       4.0851E+09   
   1.9713E+00       4.0851E+09   
   1.9713E+00       4.0851E+09   
   1.9713E+00       4.0851E+09   
   1.9713E+00       4.0851E+09   
   1.9713E+00       4.0851E+09   
   1.9714E+00       4.0851E+09   
   1.9740E+00       4.0837E+09   
   1.9904E+00       4.0749E+09   
   2.0479E+00       4.0442E+09   
   2.4586E+00       3.8316E+09   
   2.9514E+00       3.5911E+09   
   3.9514E+00       3.1486E+09   
   5.9514E+00       2.4205E+09   
   7.9514E+00       1.8607E+09   
   1.2951E+01       9.6408E+08   
   2.2951E+01       2.5882E+08   
   3.2951E+01       6.9483E+07   
   4.2951E+01       1.8653E+07   
   5.2951E+01       5.0076E+06   
   6.2951E+01       1.3439E+06   
   7.2951E+01       3.6080E+05   
   8.2951E+01       9.6852E+04   
   9.2951E+01       2.5999E+04   
   1.0295E+02       6.9792E+03   



cell8
  Time (years)   Co60 Activity (Bq/kg)
   0.0000E+00       0.0000E+00   
   4.9281E-01       2.9413E+08   
   9.8563E-01       5.6980E+08   
   1.4784E+00       8.2818E+08   
   1.9713E+00       1.0703E+09   
   1.9713E+00       1.0703E+09   
   1.9713E+00       1.0703E+09   
   1.9713E+00       1.0703E+09   
   1.9713E+00       1.0703E+09   
   1.9713E+00       1.0703E+09   
   1.9714E+00       1.0703E+09   
   1.9740E+00       1.0700E+09   
   1.9904E+00       1.0677E+09   
   2.0479E+00       1.0596E+09   
   2.4586E+00       1.0039E+09   
   2.9514E+00       9.4091E+08   
   3.9514E+00       8.2497E+08   
   5.9514E+00       6.3418E+08   
   7.9514E+00       4.8752E+08   
   1.2951E+01       2.5260E+08   
   2.2951E+01       6.7813E+07   
   3.2951E+01       1.8205E+07   
   4.2951E+01       4.8874E+06   
   5.2951E+01       1.3121E+06   
   6.2951E+01       3.5224E+05   
   7.2951E+01       9.4564E+04   
   8.2951E+01       2.5387E+04   
   9.2951E+01       6.8154E+03   
   1.0295E+02       1.8297E+03   



cell9
  Time (years)   Co60 Activity (Bq/kg)
   0.0000E+00       0.0000E+00   
   4.9281E-01       7.8940E+07   
   9.8563E-01       1.5293E+08   
   1.4784E+00       2.2228E+08   
   1.9713E+00       2.8728E+08   
   1.9713E+00       2.8728E+08   
   1.9713E+00       2.8728E+08   
   1.9713E+00       2.8728E+08   
   1.9713E+00       2.8728E+08   
   1.9713E+00       2.8728E+08   
   1.9714E+00       2.8728E+08   
   1.9740E+00       2.8718E+08   
   1.9904E+00       2.8656E+08   
   2.0479E+00       2.8440E+08   
   2.4586E+00       2.6945E+08   
   2.9514E+00       2.5254E+08   
   3.9514E+00       2.2142E+08   
   5.9514E+00       1.7021E+08   
   7.9514E+00       1.3085E+08   
   1.2951E+01       6.7797E+07   
   2.2951E+01       1.8201E+07   
   3.2951E+01       4.8863E+06   
   4.2951E+01       1.3118E+06   
   5.2951E+01       3.5216E+05   
   6.2951E+01       9.4542E+04   
   7.2951E+01       2.5381E+04   
   8.2951E+01       6.8139E+03   
   9.2951E+01       1.8290E+03   
   1.0295E+02       4.9099E+02   



